pl_name,pl_orbper,pl_rade,pl_masse,st_mass,st_rad,st_teff
OGLE-TR-10 b,3.101278,14.011,197.046,1.14,1.17,5950.0
BD-08 2823 b,5.6,,,0.74,,4746.0
BD-08 2823 c,237.6,,,0.74,,4746.0
HD 104985 b,198.2,,,,11.63,4679.37
bet Pic b,7482.5,,,1.95,1.54,8038.68
bet Pic b,,18.495,2224.81,,,
4 UMa b,269.3,,,1.23,18.11,4415.0
HD 104985 b,199.505,,,2.3,11.0,4877.0
kap CrB b,1261.94,,635.66,1.47,5.06,4788.0
kap CrB b,1251.0,,591.1638,,4.84,4871.0
kap CrB b,1300.0,,689.6911,,4.84,4871.0
14 And b,,,,1.2,,
18 Del b,,,,2.1,,
81 Cet b,,,,1.6,,
HD 81688 b,,,,1.1,,
xi Aql b,,,,1.4,,
HD 180314 b,,,,2.3,,
HD 208897 b,352.7,,,1.25,4.98,4860.0
HD 147379 b,86.54,,,0.58,0.57,4090.0
HD 47366 c,684.7,,,1.81,7.3,4866.0
6 Lyn b,899.0,,,1.7,5.2,4978.0
81 Cet b,952.7,,,2.4,11.0,4785.0
gam Lib b,415.2,,,1.47,11.1,4822.0
gam Lib c,964.6,,,1.47,11.1,4822.0
HD 110014 b,835.477,,,2.17,20.9,4445.0
KOI-13 b,1.7635892,20.5,,1.83,2.44,8848.0
Kepler-44 b,3.24674,13.9,324.17,1.19,1.52,5757.0
GJ 667 C b,7.20066,,,,,
GJ 667 C c,28.155,,,,,
KOI-13 b,1.7635877,22.77,,,2.68,8848.0
HD 75898 b,418.2,,,1.28,1.6,6021.0
KOI-13 b,1.7637,,,,,7986.07
KOI-13 b,1.763589,16.197,,2.05,1.76,8511.0
HD 11506 b,1627.5,,,1.24,1.33,6055.0
HD 11506 c,223.6,,,1.24,1.33,6055.0
GJ 667 C f,39.026,,,0.33,,3350.0
GJ 667 C g,256.2,,,0.33,,3350.0
GJ 667 C b,7.2004,,,0.33,,3350.0
GJ 667 C c,28.14,,,0.33,,3350.0
HAT-P-7 b,2.204737,15.043,564.442,1.35,1.99,6532.23
HAT-P-7 b,2.2047304,15.278,564.442,,,
HAT-P-7 b,2.2047354,15.906,566.05523,1.47,1.84,6350.0
KOI-13 b,1.763588,16.948,2949.4624,1.72,1.74,7650.0
Kepler-44 b,3.246722,13.451,327.3649,1.21,1.46,5757.0
HAT-P-7 b,2.20473536,16.05,,1.47,1.96,6360.0
GJ 667 C b,7.2,,,,,3650.0
GJ 667 C c,28.143,,,,,3650.0
GJ 667 C b,7.1999,,,,,3650.0
GJ 667 C c,28.1,,,,,3650.0
KOI-13 b,,20.85,2637.88,2.05,2.55,
KOI-13 b,1.76358757,17.05,,1.67,2.0,8482.0
HAT-P-7 b,2.2047354,,,1.35,1.99,6532.23
Kepler-44 b,3.24673248,,,1.03,1.5,5757.0
KOI-13 b,,17.627,,,2.49,9071.0
KELT-7 b,2.73477,17.934,441.7837,1.76,1.81,6768.0
HATS-61 b,7.817953,13.395,1080.622,1.08,1.66,5542.0
HATS-63 b,3.0566527,13.529,305.1168,0.93,1.07,5627.0
GJ 9827 b,1.208957,1.75,,0.66,0.65,4255.0
Kepler-44 b,3.2467315,,,1.03,1.5,5757.0
HAT-P-7 b,2.204737,16.926,574.00098,1.51,2.0,6350.0
GJ 9827 c,3.64802,1.36,,0.66,0.65,4255.0
GJ 9827 d,6.20141,2.1,,0.66,0.65,4255.0
GJ 9827 b,1.2089802,1.62,3.42,0.61,0.61,4269.0
GJ 9827 c,3.648083,1.269,2.42,0.61,0.61,4269.0
GJ 9827 d,6.201467,2.07,5.2,0.61,0.61,4269.0
HD 11506 b,1405.0,,,1.51,1.24,6183.0
HD 75898 b,418.20001,,,1.43,1.55,6061.0
HD 75898 b,422.9,,,1.26,1.58,5963.0
HD 11506 b,1622.1,,,1.24,1.34,6030.0
HD 11506 c,223.41,,,1.24,1.34,6030.0
GJ 9827 b,1.2089819,1.577,4.91,0.61,0.6,4340.0
GJ 9827 c,3.6480957,1.241,0.84,0.61,0.6,4340.0
GJ 9827 d,6.2014698,2.022,4.04,0.61,0.6,4340.0
GJ 9827 b,1.209,1.571,4.89,0.61,0.6,4255.0
HAT-P-7 b,2.20473537,22.3,,1.66,2.71,6264.0
Kepler-44 b,3.246732,7.1,,0.84,0.87,5442.0
KOI-13 b,1.76358757,25.8,,2.47,3.03,9107.0
Kepler-44 b,3.24673265,12.71,,1.09,1.46,5763.0
KOI-13 b,1.76358757,25.8,,2.47,3.03,9107.0
HAT-P-7 b,2.20473542,16.1,,1.45,1.95,6440.0
KOI-13 b,1.76358754,21.42,,2.47,3.03,9107.0
HAT-P-7 b,2.20473536,16.39,,1.52,1.99,6350.0
HD 108236 e,19.59015781,3.003,,,0.86,5723.87
HD 108236 c,6.20362189,2.057,,,0.86,5723.87
HD 108236 c,6.203449,2.071,,0.87,0.88,5660.0
WASP-76 b,1.8098806,,,1.46,1.73,6250.0
HATS-60 b,3.560832,,,1.1,1.46,5688.0
HATS-68 b,3.5862962,16.475,,,2.0,5704.8
WASP-76 b,1.80988108,21.956,,,1.89,6278.2
HAT-P-7 b,2.2046665,16.819,,,1.99,6532.23
KELT-7 b,2.7347656,17.757,,,1.77,6767.9
HATS-66 b,3.14138245,13.071,,,1.73,6534.0
HATS-63 b,3.05662771,12.518,,,1.04,5735.0
HATS-67 b,1.6091845,16.767,,,1.43,6393.0
WASP-96 b,3.42525631,14.375,,,1.12,5540.0
HATS-61 b,7.817932,,,,,
HATS-67 b,1.60918292,,,,,
HATS-68 b,3.5862207,,,,,
WASP-76 b,1.80988058,,,,,
HAT-P-7 b,2.204736,,,1.47,1.84,6350.0
HATS-64 b,4.9088963,,,1.56,2.11,6554.0
HATS-65 b,3.10515933,,,1.26,1.31,6277.0
51 Eri b,14965.0,,,1.65,1.49,7295.0
HATS-67 b,1.60918324,,,1.44,1.44,6594.0
HD 108236 b,3.79666,,,0.97,0.89,5730.0
HD 108236 c,6.203688,,,0.97,0.89,5730.0
HD 108236 d,14.175876,,,0.97,0.89,5730.0
HD 108236 e,19.590186,,,0.97,0.89,5730.0
KELT-7 b,2.7347656,,,1.53,1.73,6789.0
KOI-13 b,1.76358762,,,1.83,2.44,8848.0
WASP-76 b,1.80988043,,,1.46,1.73,6250.0
TOI-1224 b,4.1782656,2.102,,,0.4,3442.0
TOI-1224 c,17.94536449,3.384,,,0.4,3442.0
KELT-7 b,2.73476541,,,,,
TOI-1224 b,4.1782745,2.104,,0.4,0.4,3326.0
TOI-1224 c,17.945466,2.884,,0.4,0.4,3326.0
KELT-7 b,2.73476468,,,,,
WASP-76 b,1.80988158,20.681,289.22385,1.47,1.74,6366.0
WASP-76 b,1.80988452,,,,,
HD 48948 b,7.34013,,,0.69,0.68,4593.0
HD 48948 c,38.06,,,0.69,0.68,4593.0
HD 48948 d,151.92,,,0.69,0.68,4593.0
WASP-76 b,1.80988198,20.781,284.1386,1.46,1.76,6329.0
OGLE-2014-BLG-0221L b,,,1382.55357,0.69,,
OGLE-2014-BLG-0221L b,,,22934.49785,9.9,,
OGLE-2014-BLG-0221L b,,,15452.81715,9.81,,
GQ Lup b,,51.561,9852.73,,1.94,4360.0
bet Pic b,8207.0,,,1.95,1.54,8038.68
PDS 70 b,43500.0,14.572,2542.64,0.76,1.26,3972.0
PDS 70 b,,,,0.76,1.26,3972.0
51 Eri b,11688.0,,,1.65,1.49,7295.0
PDS 70 b,,30.488,953.49,,,3972.0
bet Pic b,6000.0,,2542.533,1.95,1.54,8038.68
bet Pic b,8617.50952,,3727.80939,1.79,,
51 Eri b,,,635.66,1.75,,
VHS J125601.92-125723.9 b,,,13762.039,0.06,,
VHS J125601.92-125723.9 b,5800000.0,14.572,3813.94088,,,
VHS J125601.92-125723.9 b,,,3559.696,0.07,,2620.0
bet Pic b,8110.0,,3496.13,,,
bet Pic b,7665.0,,,1.76,,
VHS J125601.92-125723.9 b,5800000.0,13.675,5085.25451,,,
VHS J125601.92-125723.9 b,,,13603.124,0.06,,
2MASS J12073346-3932539 b,,,1271.0,0.19,0.22,2825.0
GQ Lup b,,33.6,6356.0,0.7,,
PDS 70 c,,22.866,635.66,,,3972.0
bet Pic b,,16.8,6356.0,1.95,1.54,8038.68
bet Pic c,1192.77951,,3222.46222,1.79,,
2MASS J12073346-3932539 b,,,1589.15,0.02,,
bet Pic c,1200.0,,2860.47,1.75,,
bet Pic b,7800.0,,3146.517,1.75,,
PDS 70 b,,,,,,
PDS 70 c,,,,,,
TOI-5704 b,3.771116,3.227,,0.73,0.76,4590.0
HD 23472 d,3.97664,0.75,0.55,0.67,0.71,4684.0
TOI-672 b,3.633575,5.26,,0.54,0.54,3765.0
